# File saxj1808.4-3653_21.10h.dat
# Created Sat Oct 31 10:45:02 2015
#
# This profile forms part of the sample assembled for the paper
#   "Thermonuclear burst observations for model comparisons: a reference
#   catalogue" by Galloway, Goodwin & Keek (2017), PASA 34, e019
#   DOI: https://doi.org/10.1017/pasa.2017.12; published online: 19/4/2017
#
# The dataset can be cited as
#   Duncan K. Galloway (2017). Dataset: Thermonuclear Burst Observations for
#   Model Comparisons: A Reference Sample.
#   DOI: http://dx.doi.org/10.4225/50/58e720d5d95a7
#
# This profile is from MINBAR burst #3039
# (#3 in Galloway et al. 2008, ApJS 179, 360), of
# SAX J1808.4-3658, observed on MJD 52565.18426
# by the Rossi X-ray Timing Explorer (RXTE).
# 
# For full details of the source sample see
# http://burst.sci.monash.edu/minbar 
#
# This version of the data now includes deadtime correction (see 
# http://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_deadtime.html)
# and has the updated effective area of the v11.7 responses (see
# http://www.universe.nasa.gov/xrays/programs/rxte/pca/doc/rmf/pca-arf-2011
#
# All uncertainties below are at 1-sigma (68%) confidence. Note that the
# time value specifies the BEGINNING of the time bin
#
# Columns are:
# 'Time [s]' 'dt [s]' 'flux [10^-9 erg/cm^2/s]' 'flux error [10^-9 erg/cm^2/s]' 'blackbody temperature kT [keV]' 'kT error [keV]' 'blackbody normalisation K_bb [(km/d_10kpc)^2]' 'K_bb error [(km/d_10kpc)^2]' chi-sq
 -0.250  0.250  20.50    0.719   1.783  0.038  188.427  16.077  1.392
  0.000  0.250 139.49    2.433   2.376  0.023  406.533  13.948  2.802
  0.250  0.750 188.10    5.202   2.656  0.038  351.339  17.029  0.971
  1.000  0.250 195.63    3.158   2.544  0.022  434.209  13.260  2.707
  1.250  0.750 189.01    7.875   2.316  0.055  609.968  52.008  1.453
  2.000  1.000 201.57    2.839   2.186  0.017  820.547  24.040  4.420
  3.000  1.000 209.22    2.855   2.126  0.016  950.673  26.637  3.986
  4.000  2.000 215.96    2.939   2.142  0.016  953.043  26.772  3.859
  6.000  0.250 232.42    3.768   2.723  0.024  392.852  11.460  2.413
  6.250  0.750 223.66   10.822   2.763  0.069  356.522  29.475  0.896
  7.000  0.250 223.10    3.684   2.727  0.023  374.659  10.611  1.354
  7.250  0.750 210.47    9.909   2.641  0.066  402.104  34.154  1.330
  8.000  0.250 183.84    2.833   2.348  0.019  561.753  16.684  2.091
  8.250  0.750 175.58    5.243   2.218  0.035  674.376  39.594  2.077
  9.000  0.250 147.90    2.334   2.123  0.018  675.944  21.797  2.298
  9.250  1.750 137.63    3.185   2.009  0.028  785.685  42.475  1.698
 11.000  0.250  93.44    1.651   1.830  0.018  773.390  30.017  2.330
 11.250  0.250  86.48    1.563   1.822  0.018  728.322  29.041  1.399
 11.500  0.500  80.75    4.224   1.789  0.051  731.685  84.263  0.743
 12.000  1.250  76.11    1.414   1.788  0.018  692.236  28.297  2.941
 13.250  0.750  59.56    0.908   1.716  0.014  637.766  21.317  2.635
 14.000  0.250  53.84    1.209   1.724  0.021  566.419  27.727  1.288
 14.250  0.500  50.19    0.853   1.699  0.016  560.034  21.095  2.505
 14.750  0.500  44.69    0.956   1.651  0.019  559.333  26.313  1.503
 15.250  0.750  41.54    1.015   1.634  0.021  541.385  28.534  1.568
 16.000  1.000  35.79    0.503   1.565  0.011  554.470  17.040  1.668
 17.000  1.000  30.85    0.471   1.514  0.012  545.695  18.484  1.365
 18.000  2.000  27.17    0.439   1.470  0.012  540.074  19.137  1.735
 20.000  2.000  20.40    0.272   1.389  0.010  508.586  15.562  1.990
 22.000  2.000  16.41    0.247   1.327  0.011  492.232  17.577  1.697
 24.000  4.000  14.00    0.240   1.269  0.011  501.029  19.827  1.728
 28.000  4.000   9.89    0.157   1.193  0.009  453.934  16.608  2.753
 32.000  8.000   7.66    0.145   1.125  0.011  444.810  20.277  1.808
 40.000  8.000   4.77    0.094   1.048  0.011  366.558  18.223  2.111
 48.000 16.000   3.53    0.089   1.022  0.014  300.020  19.356  1.845
 64.000 16.000   2.13    0.068   0.952  0.016  240.922  19.447  1.331
 80.000 16.000   1.47    0.061   0.937  0.022  177.449  20.674  1.422
 96.000 16.000   1.08    0.068   0.877  0.029  168.909  27.841  1.160
112.000 32.000   0.80    0.061   0.936  0.039   97.233  19.737  1.250
144.000 31.380   0.52    0.056   0.887  0.051   77.773  22.787  1.126

