# time luminosity u_luminosity radius u_radius
-2.041245808437815867e+01 3.585289192219763050e+35 3.397080884860893977e+34 1.008365854423021432e+06 1.173190614700915546e+01
-1.951224187845946290e+01 3.587650445606082222e+35 3.247451915717691622e+34 1.008368287136701867e+06 1.250978425973793939e+01
-1.772081162869289983e+01 3.662380242286982389e+35 3.293190536371230764e+34 1.008372578748966800e+06 1.243370694120398134e+01
-1.415586543164681643e+01 3.845054149932458502e+35 3.427479190829389572e+34 1.008383364573528990e+06 1.230096014970199114e+01
-1.379142948972003069e+01 3.866992088365074955e+35 3.435851335263940462e+34 1.008384751088288613e+06 1.225617812203448409e+01
-1.306620196529547684e+01 3.912712109410750859e+35 3.457726779191438769e+34 1.008387725346995285e+06 1.221416254308078209e+01
-1.162299919169163331e+01 4.015155959479826589e+35 3.507509900940380971e+34 1.008395224832772859e+06 1.241116355240350799e+01
-9.984403893889975734e+00 4.155553197076558981e+35 3.578337891382784084e+34 1.008408508076805621e+06 1.323737872566929319e+01
-9.284997345792362466e+00 4.226205654080199367e+35 3.612639011935799499e+34 1.008418238944713143e+06 1.524258655440049104e+01
-8.734711227240040898e+00 4.287567368212249469e+35 3.649233796424694223e+34 1.008432853195956210e+06 2.662649571678933214e+01
-8.366169660366722383e+00 4.333295235208261831e+35 3.673660528574997657e+34 1.008464924849299947e+06 5.784248757596439816e+01
-8.078025367925874889e+00 4.409642267339414929e+35 3.709900857222769596e+34 1.008504871278919396e+06 9.671374966694737907e+01
-7.807966527296230197e+00 5.012538049644448924e+35 1.501512463104625510e+35 1.008562587898603990e+06 1.525794016578611831e+02
-7.784664499878999777e+00 5.130283259628161610e+35 1.753566900865831409e+35 1.008569010454038973e+06 1.587060166852160705e+02
-7.738293465314200148e+00 5.413456248833719352e+35 2.343332537202989539e+35 1.008582813695900841e+06 1.715926169738017393e+02
-7.663603177512413822e+00 6.045732885666377984e+35 3.565631222728463443e+35 1.008607639424020192e+06 1.945822250898905850e+02
-7.514969504787586629e+00 8.364378602323999311e+35 7.472520883466589825e+35 1.008675609812368522e+06 2.452039345667224097e+02
-7.405894116585841402e+00 1.149044932792993068e+36 1.220246998080120607e+36 1.008754887588366866e+06 2.821068391546492649e+02
-7.326131334368255921e+00 1.511545872509733818e+36 1.710786242053658544e+36 1.008832207010829006e+06 3.043170993613027804e+02
-7.260055781312985346e+00 1.981141863421826793e+36 2.223131014278284950e+36 1.008897864601851441e+06 3.319053481045814920e+02
-7.201515043954714201e+00 2.567081456795830594e+36 2.806179999244142123e+36 1.008959416253399453e+06 3.590915761938907167e+02
-7.164458645798731595e+00 3.029796268559533118e+36 3.253083228118694221e+36 1.009000440153095871e+06 3.770601000323224525e+02
-7.135823294433066621e+00 3.453309244624529686e+36 3.634320162254921886e+36 1.009041223044280661e+06 3.810903709062710050e+02
-7.108631005219649523e+00 3.919325720484539948e+36 4.028436496662320188e+36 1.009080354061067221e+06 3.869061549248196457e+02
-7.067683248256798834e+00 4.732343463440557824e+36 4.681436681039983873e+36 1.009135397278168122e+06 4.019810989010519506e+02
-7.035914215695811436e+00 5.457184545848428632e+36 5.247826257986905087e+36 1.009177585875157616e+06 4.151862439184179152e+02
-7.007201860586064868e+00 6.187280907329981779e+36 5.801085336121372894e+36 1.009215936931633973e+06 4.275315815974052498e+02
-6.978722647909307852e+00 6.986218188196519286e+36 6.379174751666792836e+36 1.009254217158433865e+06 4.400541047586103787e+02
-6.955687485067755915e+00 7.683462234497179421e+36 6.862792455920071255e+36 1.009285188368577743e+06 4.504435182869311802e+02
-6.933045518919243477e+00 8.417261211573770837e+36 7.355881789677807854e+36 1.009315544089870411e+06 4.608239070074461665e+02
-6.913261220455751754e+00 9.093046666524366200e+36 7.800224640553104989e+36 1.009342015345283900e+06 4.699686262379699997e+02
-6.893859134608646855e+00 9.785710097139610561e+36 8.249152784713700930e+36 1.009368408340239897e+06 4.780933145827021349e+02
-6.875290609983494505e+00 1.047975918411670318e+37 8.690670462727394422e+36 1.009401388500544126e+06 4.722581641559821719e+02
-6.859995502716628835e+00 1.107088315613157921e+37 9.060685332158317624e+36 1.009427183848405606e+06 4.704756991834022415e+02
-6.847031001088907942e+00 1.158886299264324864e+37 9.380182325704648717e+36 1.009447245764883468e+06 4.720248035765259260e+02
-6.834662291716085747e+00 1.209562858726010991e+37 9.689911151963915647e+36 1.009465677434080048e+06 4.746088396165122845e+02
-6.824594408928533085e+00 1.251362568295288134e+37 9.945001514168268525e+36 1.009480491418388439e+06 4.770236976173813446e+02
-6.812326047409442253e+00 1.303885951079323436e+37 1.025863678541875206e+37 1.009498382677562651e+06 4.801616758907890130e+02
-6.800633586535695940e+00 1.355016761294536490e+37 1.056007462238443653e+37 1.009515323729462107e+06 4.833003931407021696e+02
-6.788528798322658986e+00 1.408910558158026369e+37 1.087590675216414837e+37 1.009532775453671697e+06 4.866701457504123596e+02
-6.775628969233366661e+00 1.467566338158128320e+37 1.121696007319424524e+37 1.009551317984028836e+06 4.902821554324356725e+02
-6.761507478688145056e+00 1.533654457534705496e+37 1.158958585346804271e+37 1.009571611139291665e+06 4.941966341061098547e+02
-6.745534009562106803e+00 1.610113698634245617e+37 1.201422896435210979e+37 1.009594617975852685e+06 4.984895990061716589e+02
-6.743779490658198483e+00 1.618625239488980649e+37 1.206117190862372901e+37 1.009597146201507887e+06 4.989537577993227728e+02
-6.740287998036365025e+00 1.635682913330226434e+37 1.215430807652100378e+37 1.009602178788816207e+06 4.998690809528047225e+02
-6.733339927726774476e+00 1.669967971676760737e+37 1.233892006206888956e+37 1.009612208574506221e+06 5.016543252480486217e+02
-6.732217994198435917e+00 1.675548722083691736e+37 1.236866229208880701e+37 1.009613831183170085e+06 5.019370294816774845e+02
-6.729985346479224972e+00 1.686679514798856375e+37 1.242759972284371269e+37 1.009617066171935876e+06 5.024894320378434145e+02
-6.725542377505917102e+00 1.708986143591801801e+37 1.254502563562793234e+37 1.009623531146505731e+06 5.035074369917537069e+02
-6.725493211284629069e+00 1.709129023122379807e+37 1.254771547381857591e+37 1.009623609019455849e+06 5.035047286864297575e+02
-6.725413137857685797e+00 1.709535067611548353e+37 1.254980766231375609e+37 1.009623728092591045e+06 5.035171217921953257e+02
-6.725253791722934693e+00 1.710336649198444473e+37 1.255405665645211217e+37 1.009623963877677103e+06 5.035443280496388070e+02
-6.725039389872108586e+00 1.711412306715076421e+37 1.255981257069879409e+37 1.009624282683858299e+06 5.035775795746505992e+02
-6.724733491995721124e+00 1.712947002501416508e+37 1.256802644531859587e+37 1.009624737734671915e+06 5.036246306646875155e+02
-6.724199077012599446e+00 1.715631435773969184e+37 1.258233895046395986e+37 1.009625530421011266e+06 5.037122667835063226e+02
-6.723135591193567961e+00 1.720980678373776918e+37 1.261074386971379941e+37 1.009627109928810038e+06 5.038829103882914637e+02
-6.722359839477576315e+00 1.724879046760576922e+37 1.263152569288967072e+37 1.009628273109457688e+06 5.039837595389805642e+02
-6.722001458692830056e+00 1.726677857363646842e+37 1.264115908783014902e+37 1.009628812556832680e+06 5.040259090712314105e+02
-6.721708632685476914e+00 1.728149768077727829e+37 1.264900396380908428e+37 1.009629252485428122e+06 5.040622130215143102e+02
-6.721347062135464512e+00 1.729967204619883993e+37 1.265869321366564744e+37 1.009629797318970086e+06 5.041035569174819670e+02
-6.720962626015534624e+00 1.731899581733671983e+37 1.266899799851994366e+37 1.009630378215914941e+06 5.041440803816558400e+02
-6.720537851506378502e+00 1.734034717992487467e+37 1.268038752920881264e+37 1.009631022269285051e+06 5.041841403048458119e+02
-6.720028931420529261e+00 1.736592806130708704e+37 1.269403810726998298e+37 1.009631797871015267e+06 5.042236253429489921e+02
-6.719360120914643630e+00 1.739990860126851635e+37 1.271150355749595929e+37 1.009632828030984849e+06 5.042520630535497048e+02
-6.718672867398709059e+00 1.743535835739675715e+37 1.272875378718434856e+37 1.009633897816356854e+06 5.042574234547745391e+02
